Feature,Correlation,P-value
duration_create_to_expire,-0.08698978739663367,3.651716327661259e-09
experience_level_code,-0.07002919313575427,2.076043253471355e-06
duration_create_to_done,0.1619826587316817,2.5322080739099834e-28
duration_create_to_lastAct,0.11869596606822182,7.464956945841025e-16
duration_create_to_submitted,0.14114858555774082,7.840809034576016e-22
duration_create_to_killed,-0.29730801360774217,3.2928449187598314e-94
duration_create_to_start,-0.0796848341175935,6.582798433306215e-08
duration_create_to_stop,-0.18885183791806423,4.5594446684760495e-38
duration_create_to_worker_applied,-0.12174829953120975,1.3224422195613142e-16
bounty_type_Documentation,0.09684327555147469,5.01609126736345e-11
bounty_type_Security,-0.07001834254651457,2.0836181089947414e-06
token_name_CHI,-0.06649880343748445,6.603685156136855e-06
token_name_DAI,0.11009508660988804,7.737258609092695e-14
token_name_DOT,-0.088969903848913,1.5989563824669632e-09
token_name_ETC,-0.07543557619934572,3.1661628297957656e-07
token_name_USDC,-0.06806082699423681,3.984932360105048e-06
project_type_cooperative,-0.10986657222675451,8.711307378658447e-14
firstAct_activity_type_NA,-0.08896990384891305,1.5989563824669632e-09
firstAct_activity_type_new_bounty,0.06851930556633863,3.4287358660421134e-06
lastAct_activity_type_NA,-0.08896990384891305,1.5989563824669632e-09
lastAct_activity_type_bounty_abandonment_escalation_to_mods,-0.09913795012303116,1.7330980679445974e-11
lastAct_activity_type_bounty_abandonment_warning,-0.07751117536980746,1.4851759608769154e-07
lastAct_activity_type_bounty_changed,-0.09009535104757876,9.919868397154178e-10
lastAct_activity_type_extend_expiration,-0.07751117536980752,1.4851759608765883e-07
lastAct_activity_type_killed_bounty,-0.422675149589561,4.2073382180476034e-198
lastAct_activity_type_new_bounty,-0.1169139651276679,2.0092260367255433e-15
lastAct_activity_type_new_tip,0.17895977263178833,2.684834729739736e-34
lastAct_activity_type_receive_tip,0.08122470938379862,3.651254869077147e-08
lastAct_activity_type_start_work,-0.14323031742846304,1.9362244568302888e-22
lastAct_activity_type_stop_work,-0.22457757155014327,1.6875295095281662e-53
lastAct_activity_type_unknown_event,-0.19444186784369039,2.711708547955101e-40
lastAct_activity_type_work_done,0.4266595230300043,3.251286820062191e-202
lastAct_activity_type_work_submitted,0.21799231628458088,1.946154170124959e-50
lastAct_activity_type_worker_applied,-0.17002494133219162,4.474862055102114e-31
