duration_create_to_done,duration_create_to_firstAct,duration_create_to_killed,duration_create_to_lastAct,duration_create_to_new_bounty,duration_create_to_start,duration_create_to_stop,duration_create_to_submitted,duration_create_to_worker_applied,duration_worker_applied_to_worker_approved,firstAct_activity_type,lastAct_activity_type,number_of_user_in_activities,pk
51.13323715277778,0.011153194444444445,0,293.40595292824077,0.011153194444444445,0,31.42913375,41.88852297453704,0.028023414351851853,1.999448425925926,new_bounty,work_submitted,3,10842
1.3103538425925927,0.22661481481481482,0,1.3103538425925927,0.22661481481481482,0.24950712962962962,0,1.0188075810185184,0,0.24950712962962962,new_bounty,work_done,2,11389
0,0.000022708333333333334,0,6.936453530092592,0.000022708333333333334,0,0,0.6386447453703704,0.038268969907407406,0.5557813310185186,new_bounty,receive_tip,12,23972
0,0.009816631944444444,178.2108579976852,178.2108579976852,0.009816631944444444,0,17.76462445601852,0,6.718772881944444,0.16605672453703704,new_bounty,killed_bounty,2,14745
0,0.018591238425925926,5.620054699074074,347.7656928125,0.018591238425925926,0,0.6584411689814815,347.7656928125,0.09974356481481482,0.5574755439814815,new_bounty,work_submitted,3,10502
0,0.8962279398148149,0,371.60072550925923,0.8962279398148149,2.195865474537037,3.5421648958333334,24.767473587962964,0,371.60072550925923,new_bounty,work_submitted,3,10345
0,0.0019578009259259258,63.276180358796296,63.276180358796296,0.0019578009259259258,0,38.27214256944445,57.21799471064815,7.3141501388888885,-7.308831446759259,new_bounty,killed_bounty,7,17854
211.91620893518518,0.0009063078703703704,0,376.3215541550926,0.0009063078703703704,0,0,376.32155368055555,0.052036458333333334,0.1155550462962963,new_bounty,work_submitted,3,11856
36.7845291087963,0,0,480.98733640046294,0,0.011944305555555555,0,3.8297803819444445,0,480.98733640046294,new_bounty,work_submitted,2,9758
6.07602275462963,0.00037471064814814816,0,6.07602275462963,0.00037471064814814816,0,0,0,4.27118369212963,0,new_bounty,work_done,3,17212
23.86590619212963,0.00001443287037037037,0,23.86590619212963,0.00001443287037037037,0,0,23.331365729166667,1.862297986111111,21.38421178240741,new_bounty,work_done,5,24415
592.6556417245371,0.03449622685185185,0,592.6556417245371,0.03449622685185185,1.0256249421296297,28.378334988425927,421.22717416666666,0,223.80921104166666,new_bounty,work_done,4,19515
